DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/03/23 00:24:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.9403,-61.4418,81.5
2024/03/23 00:24:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.9221,-61.442,63.4
2024/03/23 00:24:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.8859,-61.2727,92.8
2024/03/23 00:24:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.8677,-61.2728,138.4
2024/03/23 00:24:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.8677,-61.254,77.0
2024/03/23 00:24:53,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,1.8687,-60.4973,65.2
2024/03/23 00:24:54,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6498,-60.5752,72.4
2024/03/23 00:24:54,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6498,-60.5563,90.1
2024/03/23 00:24:54,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6315,-60.5754,145.0
2024/03/23 00:24:54,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6316,-60.5564,123.7
2024/03/23 00:24:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.6133,-60.5756,82.0
2024/03/23 00:24:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5765,-60.841,80.5
2024/03/23 00:24:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5767,-60.6517,84.1
2024/03/23 00:24:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5584,-60.6897,83.9
2024/03/23 00:24:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5585,-60.6708,135.9
2024/03/23 00:24:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5585,-60.6518,93.6
2024/03/23 00:24:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5402,-60.6899,111.3
2024/03/23 00:24:55,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.5402,-60.6709,161.0
2024/03/23 00:24:56,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.3396,-60.6914,64.8
2024/03/23 00:24:56,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.3397,-60.6725,85.9
2024/03/23 00:24:57,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.2485,-60.692,91.8
2024/03/23 00:24:57,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.2485,-60.6731,66.9
2024/03/23 00:24:58,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.0298,-60.5987,58.3
2024/03/23 00:24:58,GOES-16,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,,,,0.9387,-60.5044,78.9
2024/03/23 00:24:59,GOES-16,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,,,,0.8112,-60.3153,65.7
2024/03/23 00:24:59,GOES-16,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,,,,0.8113,-60.2964,63.9
2024/03/23 00:34:44,GOES-16,Brasil,RORAIMA,AMAJARI,Amazônia,,,,3.5104,-61.1177,69.5
2024/03/23 00:34:46,GOES-16,Brasil,RORAIMA,ALTO ALEGRE,Amazônia,,,,3.0525,-61.7104,65.6
2024/03/23 00:34:47,GOES-16,Brasil,RORAIMA,ALTO ALEGRE,Amazônia,,,,2.9614,-61.5988,69.8
2024/03/23 00:34:47,GOES-16,Brasil,RORAIMA,ALTO ALEGRE,Amazônia,,,,2.9249,-61.637,64.8
2024/03/23 00:34:47,GOES-16,Brasil,RORAIMA,BONFIM,Amazônia,,,,2.9279,-60.2744,66.0
2024/03/23 00:34:48,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.6688,-61.9791,66.4
2024/03/23 00:34:49,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.6506,-61.9794,68.2
2024/03/23 00:34:50,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.4345,-60.4527,63.7
2024/03/23 00:34:50,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.3771,-61.9264,88.7
2024/03/23 00:34:50,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.3772,-61.9076,107.1
2024/03/23 00:34:50,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.3589,-61.9266,74.5
2024/03/23 00:34:50,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.3589,-61.9078,78.0
2024/03/23 00:34:50,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.3591,-61.8326,82.7
